Symbol,Open,High,Low,Close
IBM,146.5300,146.5350,146.4600,146.4900
IBM,146.5000,146.5200,146.4900,146.5150
IBM,146.4450,146.5300,146.4450,146.4800
IBM,146.3600,146.4400,146.3400,146.4400
IBM,146.3300,146.4200,146.3300,146.3400
IBM,146.3100,146.3200,146.2700,146.3200
IBM,146.2500,146.3100,146.2500,146.2740
IBM,146.2010,146.2600,146.1700,146.2500
IBM,146.1800,146.2200,146.1700,146.1800
IBM,146.1500,146.2200,146.1200,146.1700
IBM,146.0900,146.2100,146.0700,146.1600
IBM,146.0400,146.0900,146.0400,146.0900
IBM,146.0000,146.0600,145.9850,146.0500
IBM,145.9550,146.0700,145.9550,146.0000
IBM,145.8100,145.9600,145.8100,145.9350
IBM,145.8800,145.8900,145.7900,145.8250
IBM,145.7200,145.8400,145.7100,145.8400
IBM,145.7600,145.7600,145.7000,145.7200
IBM,145.7100,145.7900,145.7100,145.7600
IBM,145.6600,145.8000,145.6600,145.7300
IBM,145.6000,145.7000,145.6000,145.6400
IBM,145.4500,145.6300,145.4450,145.6000
IBM,145.5300,145.6200,145.4400,145.4400
IBM,145.4700,145.5400,145.4200,145.5300
IBM,145.4850,145.5200,145.4400,145.4800
IBM,145.5200,145.5700,145.4950,145.5200
IBM,145.2600,145.5200,145.2600,145.5200
IBM,145.2500,145.2950,145.1890,145.2400
IBM,145.2560,145.3100,145.2200,145.2600
IBM,145.3100,145.4000,145.2400,145.2600
IBM,145.2550,145.3500,145.2200,145.3180
IBM,145.1650,145.3000,145.1300,145.2400
IBM,145.1100,145.2350,145.0600,145.1300
IBM,145.2730,145.2800,145.1150,145.1150
IBM,145.1500,145.3000,145.1500,145.3000
IBM,145.0250,145.1910,145.0000,145.1750
IBM,144.9700,145.0200,144.8400,144.9200
IBM,145.1440,145.1440,144.9000,144.9600
IBM,145.3600,145.3700,145.1250,145.1250
IBM,145.2600,145.4700,145.2600,145.3700
IBM,145.3100,145.3450,145.1370,145.2400
IBM,145.4200,145.4450,145.3300,145.3400
IBM,145.4400,145.4530,145.3900,145.4030
IBM,145.3900,145.4700,145.3400,145.4100
IBM,145.2900,145.4000,145.2900,145.3500
IBM,145.7000,145.7000,145.2600,145.3250
IBM,145.6880,145.7900,145.6180,145.6180
IBM,145.5800,145.7200,145.5650,145.6400
IBM,145.7300,145.7810,145.5200,145.5260
IBM,145.6600,145.8000,145.6000,145.6320
IBM,145.7700,146.0800,145.6500,145.6600
IBM,146.2100,146.2100,145.7800,145.7800
IBM,146.2100,146.2100,146.2100,146.2100
IBM,146.1100,146.1100,146.1100,146.1100
IBM,146.2100,146.2100,146.2100,146.2100
IBM,146.1900,146.1900,146.1900,146.1900
IBM,146.2000,146.3000,146.2000,146.2000
IBM,146.2600,146.2600,146.2400,146.2400
IBM,146.3000,146.3000,146.2600,146.2600
IBM,146.2600,146.3700,146.2600,146.3700
IBM,146.4400,146.4400,146.4000,146.4000
IBM,146.5100,146.5100,146.5100,146.5100
IBM,146.5000,146.5000,146.5000,146.5000
IBM,145.4000,145.4000,145.4000,145.4000
IBM,146.6000,146.6000,146.6000,146.6000
IBM,146.4100,146.4100,146.4100,146.4100
IBM,146.5600,146.5600,146.5600,146.5600
IBM,146.5200,146.5600,146.4900,146.4900
IBM,146.7200,146.7200,146.7200,146.7200
IBM,146.5200,146.5200,146.5200,146.5200
IBM,146.4200,146.4200,146.4100,146.4100
IBM,146.5000,146.5000,146.5000,146.5000
IBM,146.5000,146.5000,146.4500,146.5000
IBM,146.5000,146.5000,146.5000,146.5000
IBM,146.4500,146.4500,146.4500,146.4500
IBM,146.3500,146.3800,146.3400,146.3400
IBM,146.5200,146.5200,146.5200,146.5200
IBM,146.3300,146.3300,146.3300,146.3300
IBM,146.4000,146.5200,146.3300,146.5200
IBM,146.4000,146.4000,146.4000,146.4000
IBM,146.5600,146.5600,146.5600,146.5600
IBM,146.4100,146.4100,146.4100,146.4100
IBM,146.3100,146.3100,146.3100,146.3100
IBM,146.2000,146.3000,146.2000,146.2000
IBM,146.2900,146.2900,146.2900,146.2900
IBM,146.3100,146.3100,146.3000,146.3000
IBM,146.3900,146.3900,146.3900,146.3900
IBM,146.3500,146.3600,146.3300,146.3600
IBM,146.3700,146.3900,146.2000,146.3500
IBM,146.4400,146.4800,146.4400,146.4800
IBM,146.3400,146.3400,146.3400,146.3400
IBM,145.4000,146.4500,145.4000,146.4500
IBM,145.4000,145.6000,145.4000,145.6000
IBM,145.8300,146.8000,145.4000,145.4000
IBM,146.3600,146.3600,146.3600,146.3600
IBM,146.2900,146.3900,146.2600,146.3600
IBM,146.3600,146.3600,146.3400,146.3400
IBM,146.4300,146.4300,146.4300,146.4300
IBM,146.5500,146.5500,146.5500,146.5500
